Zona,Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1491.984,1491.981,823.04592,389.9264,1520.4754,2952.583,8547.0759
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,39.211,39.213,51.7783,46.4948,75.0257,270.6913,471.2882
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,INCA-KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,16.526,16.526,42.7977,30.1169,26.9467,219.0079,142.659
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,67.548,67.547,92.9896,183.8658,219.7936,961.597,655.154
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,152.402,152.404,71.328,52.3072,192.5856,326.5237,687.5227
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,,,19.0206,,,6.3402,
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,177.597,177.596,192.3194,207.1132,369.845,1766.8024,1574.483
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1081.605,1081.607,127.9941,442.2336,1105.584,1942.4992,6477.3749
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,22.466,22.47,48.6082,36.9845,76.0824,230.3606,375.1285
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,VERTICAL,VERTICAL,COCA-COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA-COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,11.56,11.559,23.7765,17.4361,14.2659,101.4464,96.6911
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,TRADICIONAL,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,13.988,13.994,,,15.851,,57.856
REGION SUR,REGION SUR,Sub. Tacna,70 LOS PIEROS ILO,TRADICIONAL,HORIZONTAL,INCA-KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA-KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,4356.081,4370.668,5676.0653,6399.3757,3925.133,26884.5632,19436.5048
